Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Sub_Category,Product,Sales,Quantity,Discount,Profit,Region,City,Payment_Mode,Year,Month,Month_Name,Quarter,Year_Month,Profit_Margin,Revenue_per_Unit
ORD-008460,2025-09-06,CUST-00022,Rohan Patel,Beauty & Personal Care,Fragrance,Fragrance - 236,2034.22,1,0.1,766.88,West,Ahmedabad,Debit Card,2025,9,Sep,3,2025-09,0.3769897061281474,2034.22
ORD-005806,2024-08-03,CUST-02050,Aman Patel,Beauty & Personal Care,Grooming,Grooming - 479,7240.7,3,0.05,2291.22,South,Chennai,Debit Card,2024,8,Aug,3,2024-08,0.31643625616307813,2413.5666666666666
ORD-003661,2023-10-22,CUST-02252,Tanya Malhotra,Beauty & Personal Care,Skincare,Skincare - 418,1412.17,1,0.4,148.4,East,Guwahati,Cash on Delivery,2023,10,Oct,4,2023-10,0.10508649808450823,1412.17
ORD-006686,2025-10-15,CUST-03126,Rohan Singh,Books & Stationery,Office Supplies,Office Supplies - 932,333.71,2,0.3,-19.1,North,Delhi,UPI,2025,10,Oct,4,2025-10,-0.05723532408378533,166.855
ORD-003525,2025-09-12,CUST-01918,Vihaan Bose,Beauty & Personal Care,Fragrance,Fragrance - 520,3250.52,1,0.0,1457.91,West,Surat,Cash on Delivery,2025,9,Sep,3,2025-09,0.4485159297589309,3250.52
ORD-000534,2025-05-23,CUST-00271,Karan Sharma,Fashion,Watches,Watches - 807,3394.55,1,0.05,900.91,South,Hyderabad,Credit Card,2025,5,May,2,2025-05,0.2653989483142095,3394.55
ORD-006249,2023-02-12,CUST-02707,Kavya Joshi,Home & Kitchen,Storage,Storage - 769,5517.42,1,0.0,1151.39,South,Unknown,UPI,2023,2,Feb,1,2023-02,0.20868268139818974,5517.42
ORD-010250,2023-12-28,CUST-02744,Sai Malhotra,Electronics,Laptops,Laptops - 891,34672.73,1,0.15,1545.98,South,Bengaluru,Credit Card,2023,12,Dec,4,2023-12,0.044587778349152195,34672.73
ORD-005119,2023-05-09,CUST-00883,Meera Joshi,Home & Kitchen,Storage,Storage - 784,18357.23,1,0.3,-1122.61,East,Kolkata,Credit Card,2023,5,May,2,2023-05,-0.06115356183912278,18357.23
ORD-009415,2025-04-04,CUST-00279,Karan Joshi,Books & Stationery,Office Supplies,Office Supplies - 269,2431.04,1,0.1,244.75,West,Mumbai,Net Banking,2025,4,Apr,2,2025-04,0.10067707647755693,2431.04
ORD-010647,2025-10-01,CUST-00271,Karan Sharma,Beauty & Personal Care,Fragrance,Fragrance - 367,1117.4,1,0.15,304.12,South,Bengaluru,UPI,2025,10,Oct,4,2025-10,0.27216753177018077,1117.4
ORD-003422,2023-10-10,CUST-01133,Aditya Verma,Sports & Outdoors,Cycling,Cycling - 151,3897.36,1,0.0,-43.36,South,Hyderabad,Credit Card,2023,10,Oct,4,2023-10,-0.011125479811975285,3897.36
ORD-011818,2024-12-13,CUST-02436,Arjun Das,Fashion,Men's Wear,Men's Wear - 821,10229.25,2,0.2,1335.03,South,Kochi,Credit Card,2024,12,Dec,4,2024-12,0.13051103453332355,5114.625
ORD-005693,2024-11-05,CUST-01958,Nikhil Verma,Books & Stationery,Fiction,Fiction - 958,1109.68,1,0.0,198.22,North,Jaipur,UPI,2024,11,Nov,4,2024-11,0.17862807295796984,1109.68
ORD-004953,2024-10-18,CUST-00550,Aarav Reddy,Sports & Outdoors,Sportswear,Sportswear - 434,4630.2,1,0.05,361.56,West,Ahmedabad,Debit Card,2024,10,Oct,4,2024-10,0.07808733963975639,4630.2
ORD-007943,2025-12-07,CUST-00596,Diya Kumar,Electronics,Smartphones,Smartphones - 295,7022.67,1,0.1,483.1,West,Pune,Credit Card,2025,12,Dec,4,2025-12,0.06879149952938128,7022.67
ORD-005153,2024-04-09,CUST-00896,Riya Joshi,Home & Kitchen,Cookware,Cookware - 958,12971.64,1,0.05,2251.41,West,Mumbai,Credit Card,2024,4,Apr,2,2024-04,0.17356402120317863,12971.64
ORD-002693,2025-07-02,CUST-03083,Sai Chatterjee,Fashion,Bags,Bags - 687,1604.52,1,0.0,455.08,West,Ahmedabad,Net Banking,2025,7,Jul,3,2025-07,0.28362376286989255,1604.52
ORD-011266,2025-02-14,CUST-01506,Ananya Nair,Sports & Outdoors,Cycling,Cycling - 137,9274.3,1,0.15,1207.52,North,Lucknow,UPI,2025,2,Feb,1,2025-02,0.1302006620445748,9274.3
ORD-003955,2023-10-26,CUST-01054,Nikhil Gupta,Fashion,Women's Wear,Women's Wear - 772,4655.22,1,0.05,1203.9,East,Kolkata,Net Banking,2023,10,Oct,4,2023-10,0.2586129119569,4655.22
ORD-008026,2023-10-20,CUST-00045,Nikhil Kapoor,Books & Stationery,Fiction,Fiction - 493,2251.52,1,0.2,43.41,South,Chennai,Cash on Delivery,2023,10,Oct,4,2023-10,0.019280308413871516,2251.52
ORD-008826,2023-07-23,CUST-01980,Aditya Singh,Electronics,Headphones,Headphones - 571,22129.13,1,0.0,2754.96,South,Hyderabad,UPI,2023,7,Jul,3,2023-07,0.1244947270859722,22129.13
ORD-005823,2024-05-09,CUST-02169,Nikhil Patel,Electronics,Laptops,Laptops - 367,34273.01,1,0.0,3640.79,North,Lucknow,UPI,2024,5,May,2,2024-05,0.1062290706302131,34273.01
ORD-001176,2024-08-14,CUST-02501,Arjun Sharma,Fashion,Men's Wear,Men's Wear - 706,663.37,1,0.05,176.97,West,Ahmedabad,Net Banking,2024,8,Aug,3,2024-08,0.2667741984111431,663.37
ORD-004258,2023-10-11,CUST-02986,Karan Singh,Electronics,Headphones,Headphones - 388,22193.3,1,0.0,3211.58,West,Pune,UPI,2023,10,Oct,4,2023-10,0.1447094393352949,22193.3
ORD-006509,2024-07-20,CUST-00596,Diya Kumar,Electronics,Accessories,Accessories - 787,41346.911250000005,1,0.0,12851.14,West,Mumbai,UPI,2024,7,Jul,3,2024-07,0.31081257611473934,41346.911250000005
ORD-009369,2024-12-19,CUST-00658,Neha Kumar,Beauty & Personal Care,Makeup,Makeup - 136,2537.06,1,0.05,829.81,West,Mumbai,Cash on Delivery,2024,12,Dec,4,2024-12,0.32707543376979653,2537.06
ORD-004415,2024-01-16,CUST-01807,Riya Verma,Electronics,Headphones,Headphones - 457,36392.72,1,0.15,-94.17,South,Bengaluru,Debit Card,2024,1,Jan,1,2024-01,-0.0025876054331745468,36392.72
ORD-006120,2024-01-31,CUST-01833,Kavya Iyer,Fashion,Watches,Watches - 930,3104.97,1,0.05,1180.97,North,Chandigarh,Cash on Delivery,2024,1,Jan,1,2024-01,0.3803482803376522,3104.97
ORD-010875,2023-12-16,CUST-01498,Nikhil Chatterjee,Electronics,Laptops,Laptops - 333,13714.66,1,0.0,2373.37,South,Bengaluru,Cash on Delivery,2023,12,Dec,4,2023-12,0.17305350624805865,13714.66
ORD-006129,2023-01-23,CUST-00044,Aditya Kumar,Home & Kitchen,Appliances,Appliances - 863,7417.34,1,0.1,871.89,North,Jaipur,Credit Card,2023,1,Jan,1,2023-01,0.11754753051633064,7417.34
ORD-000750,2024-11-12,CUST-01013,Vivaan Iyer,Electronics,Headphones,Headphones - 699,41346.911250000005,1,0.3,-6348.12,South,Bengaluru,UPI,2024,11,Nov,4,2024-11,-0.15353311306899617,41346.911250000005
ORD-010134,2024-12-22,CUST-03055,Riya Menon,Fashion,Footwear,Footwear - 892,1577.65,1,0.05,466.75,North,Delhi,UPI,2024,12,Dec,4,2024-12,0.2958514245872025,1577.65
ORD-000219,2023-11-12,CUST-00096,Rohan Chatterjee,Fashion,Men's Wear,Men's Wear - 250,2048.16,1,0.05,431.34,North,Chandigarh,Credit Card,2023,11,Nov,4,2023-11,0.2105987813452074,2048.16
ORD-004955,2025-02-09,CUST-01995,Diya Iyer,Fashion,Bags,Bags - 557,4825.71,1,0.1,885.78,North,Chandigarh,Net Banking,2025,2,Feb,1,2025-02,0.1835543370820045,4825.71
ORD-005039,2024-10-06,CUST-00764,Ayaan Gupta,Electronics,Cameras,Cameras - 892,20406.12,1,0.0,3411.81,West,Mumbai,UPI,2024,10,Oct,4,2024-10,0.1671954296064122,20406.12
ORD-010500,2025-03-05,CUST-00236,Karan Malhotra,Home & Kitchen,Decor,Decor - 219,12009.34,1,0.1,1682.53,North,Jaipur,Debit Card,2025,3,Mar,1,2025-03,0.14010178744210755,12009.34
ORD-003095,2024-01-08,CUST-00895,Priya Malhotra,Home & Kitchen,Furniture,Furniture - 988,6048.88,1,0.3,-327.49,West,Mumbai,Credit Card,2024,1,Jan,1,2024-01,-0.05414060123527,6048.88
ORD-003356,2023-04-20,CUST-00555,Simran Sharma,Fashion,Men's Wear,Men's Wear - 231,11169.32,2,0.3,577.43,West,Surat,UPI,2023,4,Apr,2,2023-04,0.051697865223666255,5584.66
ORD-006511,2024-07-10,CUST-01148,Karan Malhotra,Beauty & Personal Care,Fragrance,Fragrance - 634,1645.26,1,0.05,713.23,East,Guwahati,Debit Card,2024,7,Jul,3,2024-07,0.4335059504272881,1645.26
ORD-006859,2023-11-22,CUST-01287,Karan Reddy,Electronics,Cameras,Cameras - 244,41346.911250000005,1,0.0,9061.65,South,Chennai,Credit Card,2023,11,Nov,4,2023-11,0.21916147363970262,41346.911250000005
ORD-009254,2025-02-19,CUST-02387,Arjun Das,Home & Kitchen,Furniture,Furniture - 870,29596.75,2,0.0,6075.71,West,Mumbai,UPI,2025,2,Feb,1,2025-02,0.20528301249292574,14798.375
ORD-010149,2024-07-07,CUST-00655,Diya Kapoor,Books & Stationery,Non-Fiction,Non-Fiction - 746,1754.61,1,0.0,304.09,South,Chennai,UPI,2024,7,Jul,3,2024-07,0.17330916841919286,1754.61
ORD-000150,2024-04-10,CUST-02245,Sneha Reddy,Home & Kitchen,Furniture,Furniture - 760,10692.12,1,0.0,2324.48,West,Ahmedabad,UPI,2024,4,Apr,2,2024-04,0.21740122632368508,10692.12
ORD-008918,2025-03-15,CUST-00164,Sai Sharma,Home & Kitchen,Decor,Decor - 424,4366.52,3,0.2,44.55,South,Hyderabad,UPI,2025,3,Mar,1,2025-03,0.01020263276018431,1455.506666666667
ORD-000380,2024-12-08,CUST-01646,Diya Iyer,Electronics,Accessories,Accessories - 399,39145.25,1,0.1,1087.26,South,Chennai,Cash on Delivery,2024,12,Dec,4,2024-12,0.027775017403133203,39145.25
ORD-010387,2024-01-28,CUST-02310,Sneha Joshi,Books & Stationery,Fiction,Fiction - 914,409.7,1,0.0,79.56,East,Guwahati,Credit Card,2024,1,Jan,1,2024-01,0.1941908713692946,409.7
ORD-003947,2024-05-14,CUST-00393,Priya Menon,Electronics,Headphones,Headphones - 458,41346.911250000005,2,0.3,-11252.59,North,Chandigarh,Cash on Delivery,2024,5,May,2,2024-05,-0.27215067969557216,20673.455625000002
ORD-002228,2025-01-10,CUST-02854,Diya Patel,Books & Stationery,Academic,Academic - 600,2345.89,1,0.05,343.7,West,Pune,Cash on Delivery,2025,1,Jan,1,2025-01,0.14651155851297376,2345.89
ORD-001189,2025-01-14,CUST-00747,Aarav Patel,Electronics,Headphones,Headphones - 461,41343.43,1,0.05,3255.21,South,Chennai,Credit Card,2025,1,Jan,1,2025-01,0.07873584750950756,41343.43
ORD-009684,2024-01-29,CUST-02518,Aarav Singh,Home & Kitchen,Cookware,Cookware - 661,11337.3,1,0.2,276.74,East,Guwahati,Credit Card,2024,1,Jan,1,2024-01,0.024409691901951965,11337.3
ORD-001794,2023-10-21,CUST-02086,Ananya Kumar,Electronics,Cameras,Cameras - 327,41346.911250000005,1,0.05,4552.59,North,Unknown,Net Banking,2023,10,Oct,4,2023-10,0.11010713647926965,41346.911250000005
ORD-008186,2023-05-25,CUST-00164,Sai Sharma,Electronics,Smartphones,Smartphones - 640,41346.911250000005,1,0.05,6345.53,South,Kochi,Debit Card,2023,5,May,2,2023-05,0.1534704723560215,41346.911250000005
ORD-007573,2023-01-15,CUST-02527,Tanya Joshi,Home & Kitchen,Cookware,Cookware - 646,15723.1,1,0.1,791.42,South,Hyderabad,UPI,2023,1,Jan,1,2023-01,0.050334857629856705,15723.1
ORD-007890,2023-05-06,CUST-00051,Aman Singh,Home & Kitchen,Cookware,Cookware - 594,9728.49,1,0.15,767.44,South,Kochi,Net Banking,2023,5,May,2,2023-05,0.07888582914717496,9728.49
ORD-009005,2023-11-25,CUST-00164,Sai Sharma,Fashion,Bags,Bags - 572,3600.99,1,0.0,666.38,South,Kochi,Debit Card,2023,11,Nov,4,2023-11,0.18505466552253685,3600.99
ORD-002253,2023-11-02,CUST-00084,Ayaan Gupta,Home & Kitchen,Furniture,Furniture - 356,19981.45,1,0.15,1380.04,South,Bengaluru,Net Banking,2023,11,Nov,4,2023-11,0.06906605876950872,19981.45
ORD-011052,2023-01-03,CUST-02425,Vihaan Joshi,Beauty & Personal Care,Makeup,Makeup - 235,1300.91,1,0.15,269.6,West,Pune,Net Banking,2023,1,Jan,1,2023-01,0.20723954770122452,1300.91
ORD-000425,2024-04-06,CUST-01073,Ananya Iyer,Electronics,Headphones,Headphones - 783,41346.911250000005,2,0.0,13756.54,West,Ahmedabad,Credit Card,2024,4,Apr,2,2024-04,0.3327102214920588,20673.455625000002
ORD-000136,2025-05-03,CUST-00656,Kavya Patel,Fashion,Men's Wear,Men's Wear - 694,3781.51,1,0.0,1133.06,South,Chennai,Credit Card,2025,5,May,2,2025-05,0.29963162863512194,3781.51
ORD-006953,2023-02-20,CUST-02884,Ayaan Patel,Beauty & Personal Care,Fragrance,Fragrance - 426,1285.87,1,0.05,421.01,West,Pune,Credit Card,2023,2,Feb,1,2023-02,0.3274125689222083,1285.87
ORD-006884,2023-10-28,CUST-00799,Sneha Bose,Sports & Outdoors,Cycling,Cycling - 399,14578.02,1,0.0,1045.2,South,Chennai,UPI,2023,10,Oct,4,2023-10,0.07169697942518943,14578.02
ORD-006862,2023-05-05,CUST-02946,Karan Reddy,Fashion,Women's Wear,Women's Wear - 576,5145.11,1,0.05,1171.65,North,Jaipur,Net Banking,2023,5,May,2,2023-05,0.22772107884962617,5145.11
ORD-009395,2023-07-19,CUST-02552,Sai Iyer,Books & Stationery,Academic,Academic - 167,1519.62,1,0.1,82.37,West,Pune,UPI,2023,7,Jul,3,2023-07,0.05420434055882392,1519.62
ORD-005158,2023-12-05,CUST-02086,Ananya Kumar,Home & Kitchen,Storage,Storage - 312,2625.0,1,0.0,593.5,North,Jaipur,Credit Card,2023,12,Dec,4,2023-12,0.2260952380952381,2625.0
ORD-009808,2023-07-11,CUST-02069,Tanya Kumar,Home & Kitchen,Storage,Storage - 362,2941.86,1,0.1,379.53,East,Kolkata,UPI,2023,7,Jul,3,2023-07,0.12901021802533089,2941.86
ORD-008521,2025-12-09,CUST-00370,Karan Joshi,Electronics,Smartphones,Smartphones - 823,41346.911250000005,1,0.1,2513.47,East,Kolkata,Credit Card,2025,12,Dec,4,2025-12,0.0607897887414746,41346.911250000005
ORD-009472,2024-12-21,CUST-02639,Sai Kapoor,Books & Stationery,Fiction,Fiction - 348,2008.82,1,0.05,235.51,South,Bengaluru,Debit Card,2024,12,Dec,4,2024-12,0.11723798050596868,2008.82
ORD-003509,2023-10-24,CUST-01995,Diya Iyer,Sports & Outdoors,Cycling,Cycling - 875,14705.13,1,0.1,2816.28,North,Lucknow,UPI,2023,10,Oct,4,2023-10,0.19151683800143218,14705.13
ORD-004925,2023-05-14,CUST-03169,Kavya Verma,Beauty & Personal Care,Makeup,Makeup - 207,3014.17,1,0.15,639.84,North,Chandigarh,UPI,2023,5,May,2,2023-05,0.21227734334825177,3014.17
ORD-010158,2023-06-03,CUST-00596,Diya Kumar,Home & Kitchen,Appliances,Appliances - 492,3115.95,2,0.05,577.06,West,Surat,Debit Card,2023,6,Jun,2,2023-06,0.18519552624400262,1557.975
ORD-009483,2025-01-04,CUST-02641,Karan Bose,Sports & Outdoors,Yoga,Yoga - 235,989.26,1,0.15,62.98,South,Bengaluru,UPI,2025,1,Jan,1,2025-01,0.063663748660615,989.26
ORD-004979,2024-08-24,CUST-02846,Ananya Menon,Fashion,Footwear,Footwear - 154,5103.4,1,0.1,1514.87,South,Hyderabad,Credit Card,2024,8,Aug,3,2024-08,0.29683544303797466,5103.4
ORD-002320,2025-11-23,CUST-01365,Meera Iyer,Electronics,Accessories,Accessories - 556,6910.91,1,0.3,-1082.55,North,Lucknow,Debit Card,2025,11,Nov,4,2025-11,-0.1566436258032589,6910.91
ORD-004878,2023-04-07,CUST-01185,Vihaan Gupta,Electronics,Accessories,Accessories - 186,32214.08,1,0.0,5316.31,North,Chandigarh,Cash on Delivery,2023,4,Apr,2,2023-04,0.16503063256811928,32214.08
ORD-004656,2024-11-02,CUST-01456,Aditya Verma,Beauty & Personal Care,Grooming,Grooming - 637,5275.29,2,0.1,1432.94,North,Delhi,Credit Card,2024,11,Nov,4,2024-11,0.27163246001641617,2637.645
ORD-006881,2023-07-09,CUST-02604,Rohan Malhotra,Beauty & Personal Care,Skincare,Skincare - 797,3201.86,1,0.0,1275.04,East,Bhubaneswar,UPI,2023,7,Jul,3,2023-07,0.3982185354762544,3201.86
ORD-001670,2023-12-10,CUST-01678,Tanya Iyer,Fashion,Men's Wear,Men's Wear - 432,2418.7,1,0.05,645.36,East,Guwahati,Debit Card,2023,12,Dec,4,2023-12,0.2668210195559598,2418.7
ORD-005577,2023-11-01,CUST-00084,Ayaan Gupta,Beauty & Personal Care,Makeup,Makeup - 966,2609.03,1,0.4,-40.05,South,Hyderabad,UPI,2023,11,Nov,4,2023-11,-0.015350532573408507,2609.03
ORD-004375,2023-10-21,CUST-02149,Ishita Malhotra,Fashion,Bags,Bags - 277,2119.47,1,0.0,582.45,North,Delhi,UPI,2023,10,Oct,4,2023-10,0.2748092683548246,2119.47
ORD-001433,2025-10-29,CUST-01676,Vihaan Das,Electronics,Accessories,Accessories - 215,19264.88,1,0.0,935.42,East,Kolkata,UPI,2025,10,Oct,4,2025-10,0.04855571381705985,19264.88
ORD-004343,2023-09-23,CUST-02552,Sai Iyer,Electronics,Smartphones,Smartphones - 550,41346.911250000005,2,0.05,14613.58,West,Mumbai,Credit Card,2023,9,Sep,3,2023-09,0.35343825108580507,20673.455625000002
ORD-003127,2023-08-24,CUST-00239,Pooja Sharma,Fashion,Watches,Watches - 519,5121.6,1,0.0,1573.09,South,Kochi,UPI,2023,8,Aug,3,2023-08,0.30714815682599184,5121.6
ORD-009232,2025-06-04,CUST-00921,Ishita Verma,Electronics,Headphones,Headphones - 902,17684.08,1,0.15,598.3,North,Jaipur,Debit Card,2025,6,Jun,2,2025-06,0.03383269019366571,17684.08
ORD-008899,2023-06-25,CUST-02634,Meera Chatterjee,Beauty & Personal Care,Grooming,Grooming - 640,1316.84,1,0.0,482.13,North,Jaipur,UPI,2023,6,Jun,2,2023-06,0.36612648461468367,1316.84
ORD-005235,2023-12-30,CUST-02311,Riya Das,Beauty & Personal Care,Grooming,Grooming - 111,2002.82,1,0.0,829.67,West,Surat,Net Banking,2023,12,Dec,4,2023-12,0.41425090622222666,2002.82
ORD-004503,2023-10-24,CUST-00164,Sai Sharma,Fashion,Footwear,Footwear - 196,1413.2,1,0.0,462.1,South,Hyderabad,Net Banking,2023,10,Oct,4,2023-10,0.3269883951316162,1413.2
ORD-000539,2025-05-04,CUST-01141,Nikhil Patel,Electronics,Headphones,Headphones - 550,10825.59,1,0.1,502.12,West,Surat,Cash on Delivery,2025,5,May,2,2025-05,0.04638269138217871,10825.59
ORD-006311,2025-03-20,CUST-00559,Tanya Menon,Books & Stationery,Office Supplies,Office Supplies - 482,1647.84,1,0.3,-122.59,West,Surat,Cash on Delivery,2025,3,Mar,1,2025-03,-0.07439435867559958,1647.84
ORD-004448,2025-01-01,CUST-02247,Rohan Kumar,Sports & Outdoors,Cycling,Cycling - 387,9625.53,1,0.0,1654.27,West,Pune,Debit Card,2025,1,Jan,1,2025-01,0.17186274418135936,9625.53
ORD-007592,2025-06-28,CUST-01995,Diya Iyer,Fashion,Women's Wear,Women's Wear - 497,11807.07,2,0.1,2875.92,North,Lucknow,Credit Card,2025,6,Jun,2,2025-06,0.24357609466192714,5903.535
ORD-011690,2024-11-01,CUST-01972,Simran Das,Fashion,Watches,Watches - 624,971.17,1,0.3,50.49,North,Chandigarh,UPI,2024,11,Nov,4,2024-11,0.05198883820546352,971.17
ORD-005980,2025-01-25,CUST-02480,Simran Das,Home & Kitchen,Cookware,Cookware - 204,27406.08,2,0.15,1614.57,East,Patna,UPI,2025,1,Jan,1,2025-01,0.05891283977861846,13703.04
ORD-000959,2024-02-16,CUST-00335,Simran Gupta,Beauty & Personal Care,Makeup,Makeup - 938,1051.01,1,0.2,228.9,East,Bhubaneswar,Cash on Delivery,2024,2,Feb,1,2024-02,0.21779050627491653,1051.01
ORD-006445,2023-06-16,CUST-02293,Riya Menon,Home & Kitchen,Storage,Storage - 781,4065.35,1,0.1,562.11,East,Patna,Net Banking,2023,6,Jun,2,2023-06,0.13826853776427614,4065.35
ORD-011901,2025-07-27,CUST-00503,Vihaan Joshi,Books & Stationery,Non-Fiction,Non-Fiction - 948,2227.2,1,0.15,-65.37,North,Jaipur,Debit Card,2025,7,Jul,3,2025-07,-0.029350754310344833,2227.2
ORD-007388,2024-10-19,CUST-01673,Kavya Malhotra,Books & Stationery,Academic,Academic - 986,2305.27,1,0.1,29.89,West,Surat,Debit Card,2024,10,Oct,4,2024-10,0.012965943251766605,2305.27
ORD-000361,2023-07-04,CUST-00140,Vivaan Verma,Beauty & Personal Care,Skincare,Skincare - 227,1466.61,1,0.05,496.97,South,Kochi,UPI,2023,7,Jul,3,2023-07,0.3388562739924043,1466.61
ORD-005175,2023-04-26,CUST-02923,Pooja Gupta,Beauty & Personal Care,Fragrance,Fragrance - 797,2484.48,1,0.15,574.54,South,Hyderabad,Net Banking,2023,4,Apr,2,2023-04,0.231251609994848,2484.48
ORD-001422,2025-05-02,CUST-02426,Simran Bose,Fashion,Footwear,Footwear - 384,807.69,1,0.15,187.0,North,Chandigarh,Credit Card,2025,5,May,2,2025-05,0.23152447102229815,807.69
ORD-004903,2023-12-30,CUST-00596,Diya Kumar,Sports & Outdoors,Sportswear,Sportswear - 317,1987.43,1,0.05,389.06,West,Pune,UPI,2023,12,Dec,4,2023-12,0.19576035382378246,1987.43
ORD-004813,2025-01-19,CUST-03082,Sai Verma,Electronics,Accessories,Accessories - 182,29544.24,1,0.1,2642.13,South,Chennai,Cash on Delivery,2025,1,Jan,1,2025-01,0.08942961470662301,29544.24
ORD-011982,2023-09-13,CUST-01282,Rohan Reddy,Electronics,Cameras,Cameras - 303,21148.4,1,0.15,156.92,East,Kolkata,UPI,2023,9,Sep,3,2023-09,0.0074199466626316875,21148.4
ORD-010876,2025-11-06,CUST-00376,Tanya Gupta,Electronics,Smartphones,Smartphones - 217,41346.911250000005,1,0.0,5105.77,South,Hyderabad,Credit Card,2025,11,Nov,4,2025-11,0.12348612860410461,41346.911250000005
ORD-002755,2023-11-08,CUST-00499,Kavya Patel,Home & Kitchen,Furniture,Furniture - 369,24156.73,1,0.15,1464.03,North,Delhi,Debit Card,2023,11,Nov,4,2023-11,0.06060547102194709,24156.73
ORD-011221,2024-06-21,CUST-02527,Tanya Joshi,Fashion,Watches,Watches - 860,2733.23,1,0.05,553.66,South,Kochi,UPI,2024,6,Jun,2,2024-06,0.2025661945756486,2733.23
ORD-001278,2024-12-23,CUST-00596,Diya Kumar,Books & Stationery,Fiction,Fiction - 238,2418.11,1,0.0,452.76,West,Pune,Net Banking,2024,12,Dec,4,2024-12,0.18723713974963918,2418.11
ORD-010670,2024-12-29,CUST-01632,Karan Kapoor,Fashion,Watches,Watches - 234,5276.67,1,0.05,1524.39,North,Delhi,Debit Card,2024,12,Dec,4,2024-12,0.28889242647351454,5276.67
ORD-006605,2025-07-05,CUST-02723,Reyansh Patel,Fashion,Watches,Watches - 970,5224.37,1,0.4,-23.19,West,Pune,Credit Card,2025,7,Jul,3,2025-07,-0.004438812718088497,5224.37
ORD-011704,2025-07-29,CUST-00431,Tanya Joshi,Electronics,Cameras,Cameras - 388,41346.911250000005,1,0.0,9278.13,West,Ahmedabad,Debit Card,2025,7,Jul,3,2025-07,0.22439717307783175,41346.911250000005
ORD-011852,2025-05-27,CUST-00596,Diya Kumar,Beauty & Personal Care,Haircare,Haircare - 916,2958.85,1,0.3,101.23,West,Ahmedabad,Net Banking,2025,5,May,2,2025-05,0.034212616388123764,2958.85
ORD-005901,2024-11-21,CUST-01995,Diya Iyer,Electronics,Accessories,Accessories - 546,41346.911250000005,1,0.0,7129.01,North,Chandigarh,Debit Card,2024,11,Nov,4,2024-11,0.17241940895887353,41346.911250000005
ORD-007459,2023-11-11,CUST-00671,Kavya Gupta,Beauty & Personal Care,Haircare,Haircare - 904,1311.44,1,0.15,315.79,North,Chandigarh,UPI,2023,11,Nov,4,2023-11,0.24079637650216557,1311.44
ORD-011854,2025-11-25,CUST-00019,Pooja Kapoor,Home & Kitchen,Appliances,Appliances - 271,6357.32,1,0.05,890.84,South,Hyderabad,Credit Card,2025,11,Nov,4,2025-11,0.14012823013471087,6357.32
ORD-007136,2024-07-03,CUST-02050,Aman Patel,Fashion,Footwear,Footwear - 270,2911.41,1,0.05,605.54,South,Hyderabad,UPI,2024,7,Jul,3,2024-07,0.20798856911256058,2911.41
